HSN Code,Description of Goods,Old GST Rate (%),New GST Rate (%)
2105 00 00,"Ice cream and other edible ice, whether or not containing cocoa",18,5
2106,"Paratha, parotta and other Indian breads by any name called",18,Nil
2106,"Texturised vegetable proteins (soya bari), Bari made of pulses including mungodi and batters",12,5
2106 90,"Namkeens, bhujia, mixture, chabena and similar edible preparations ready for consumption form (other than roasted gram), pre-packaged and labelled",12,5
2106 90 20,Pan masala*,28,40 (effective date for new rate is yet to be annouced)
2106 90 91,Diabetic foods,12,5
2106,Food preparations not elsewhere specified or included,18,5
2201,Drinking water packed in 20 litre bottles,12,5
2201,"Waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavoured",18,5
2202 10,"All goods (including aerated waters), containing added sugar or other sweetening matter or flavoured",28,40
"2202 91 00, 2202 99",Other non-alcoholic beverages,18,40
2202 99,"Plant-based milk drinks, ready for direct consumption as beverages",18,5
2202 99 10,Soya milk drinks,12,5
2202 99 20,Fruit pulp or fruit juice based drinks (other than Carbonated Beverages of Fruit Drink or Carbonated Beverages with Fruit Juice),12,5
2202 99 30,Beverages containing milk,12,5
2202 99 90,Caffeinated Beverages,28,40
2401*,Unmanufactured tobacco; tobacco refuse [other than tobacco leaves],28,40 (effective date for new rate is yet to be annouced)
2403*,Bidis,28,18 (effective date for new rate is yet to be annouced)
2404 11 00*,Products containing tobacco or reconstituted tobacco and intended for inhalation without combustion,28,40 (effective date for new rate is yet to be annouced)
2404 19 00*,Products containing tobacco or nicotine substitutes and intended for inhalation without combustion,28,40 (effective date for new rate is yet to be annouced)
2515 12 10,Marble and travertine blocks,12,5
2516,Granite blocks,12,5
2523,"Portland cement, aluminous cement, slag cement, super sulphate cement and similar hydraulic cements, whether or not coloured or in the form of clinkers",28,18
2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",5,18
2702,"Lignite, whether or not agglomerated, excluding jet",5,18
2703,"Peat (including peat litter), whether or not agglomerated",5,18
28,Anaesthetics,12,5
28,Potassium Iodate,12,5
28,Steam,12,5
2801 20,Iodine,12,5
2804 40 10,Medical grade oxygen,12,5
2807,Sulphuric acid,18,5
2808,Nitric acid,18,5
2814,Ammonia,18,5
2847,Medicinal grade hydrogen peroxide,12,5
28 or 38,"Micronutrients, which are covered under serial number 1(g) of Schedule 1, Part (A) of the Fertilizer Control Order, 1985 and are manufactured by the manufacturers which are registered under the Fertilizer Control Order, 1985",12,5
29 or 380893,Gibberellic acid,12,5
29061110,Natural menthol,12,5
"29061110, 30, 3301",Following goods from natural menthol namely: a. Menthol and menthol crystals b. Peppermint (Mentha oil) c. Fractionated/ de-terpinated mentha oil (DTMO) d. De-mentholised oil(DMO) e. Spearmint oil f. Mentha piperita oil,12,5
29061190,Other than natural menthol,12,18
"29061190, 30, 3301","Following goods made from other than natural menthol, namely: a. Menthol and menthol crystals b. Peppermint (Mentha oil) c. Fractionated/ de-terpinated mentha oil (DTMO) d. De-mentholised oil(DMO) e. Spearmint oil f. Mentha piperita oil",12,18
30,"The following drugs and medicines Agalsidase Beta Imiglucerase ""Eptacog alfa activated recombinant coagulation factor VIIa""",5,Nil
30,The following drugs and medicines 1 Onasemnogene abeparvovec 2 Asciminib 3 Mepolizumab 4 Pegylated Liposomal Irinotecan 5 Daratumumab 6 Daratumumab subcutaneous 7 Teclistamab 8 Amivantamab 9 Alectinib 10 Risdiplam 11 Obinutuzumab 12 Polatuzumab vedotin 13 Entrectinib 14 Atezolizumab 15 Spesolimab 16 Velaglucerase Alpha 17 Agalsidase Alfa 18 Rurioctocog Alpha Pegol 19 Idursulphatase 20 Alglucosidase Alfa 21 Laronidase 22 Olipudase Alfa 23 Tepotinib 24 Avelumab 25 Emicizumab 26 Belumosudil 27 Miglustat 28 Velmanase Alfa 29 Alirocumab 30 Evolocumab 31 Cystamine Bitartrate 32 CI-Inhibitor injection 33 Inclisiran,12,Nil
30,All Drugs and medicines including: (i) Fluticasone Furoate + Umeclidinium + Vilanterol FF/UMEC/VI (ii) Brentuximab Vedotin (iii) Ocrelizumab (iv) Pertuzumab (v) Pertuzumab + trastuzumab (vi) Faricimab,12,5
3001,"Glands and other organs for organo-therapeutic uses, dried, whether or not powdered; extracts of glands or other organs or of their secretions for organo-therapeutic uses; heparin and its salts; other human or animal substances prepared for therapeutic or prophylactic uses, not elsewhere specified or included",12,5
3002,"Animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions and modified immunological products, whether or not obtained by means of biotechnological processes; toxins, cultures of micro-organisms (excluding yeasts) and similar products",12,5
3003,"Medicaments (excluding goods of heading 30.02, 30.05 or 30.06) consisting of two or more constituents which have been mixed together for therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale, including Ayurvedic, Unani, Siddha, homoeopathic or Bio-chemic systems medicaments",12,5
3004,"Medicaments (excluding goods of heading 30.02, 30.05 or 30.06) consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses (including those in the form of transdermal administration systems) or in forms or packings for retail sale, including Ayurvedic, Unani, homoeopathic siddha or Bio-chemic systems medicaments, put up for retail sale",12,5
3005,"Wadding, gauze, bandages and similar articles (for example, dressings, adhesive plasters, poultices), impregnated or coated with pharmaceutical substances or put up in forms or packings for retail sale for medical, surgical, dental or veterinary purposes",12,5
3006,"Pharmaceutical goods specified in Note 4 to this Chapter [i.e. Sterile surgical catgut, similar sterile suture materials (including sterile absorbable surgical or dental yarns) and sterile tissue adhesives for surgical wound closure; sterile laminaria and sterile laminaria tents; sterile absorbable surgical or dental haemostatics; sterile surgical or dental adhesion barriers, whether or not absorbable; Waste pharmaceuticals] [other than contraceptives]",12,5
3304,"Talcum powder, Face powder",18,5
3305,"Hair oil, shampoo",18,5
3306,"Dental floss, toothpaste",18,5
33061010,Tooth powder,12,5
3307,"Shaving cream, shaving lotion, aftershave lotion",18,5
33074100,"Odoriferous preparations which operate by burning (other than agarbattis, lobhan, dhoop batti, dhoop, sambhrani)",12,18
3401,"Toilet Soap (other than industrial soap) in the form of bars, cakes, moulded pieces or shapes",18,5
3406,"Candles, tapers and the like",12,5
3406,Handcrafted candles,12,5
3503,"Gelatin (including gelatin in rectangular (including square) sheets, whether or not surface-worked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading 3501",18,5
3505,"Dextrins and other modified starches (for example, pregelatinised or esterified starches); glues based on starches, or on dextrins or other modified starches",18,5
3605 00 10,All goods-safety matches,12,5
3701,Photographic plates and film for x-ray for medical use,12,5
3705,"Photographic plates and films, exposed and developed, other than cinematographic film",12,5
3706,"Photographic plates and films, exposed and developed, whether or not incorporating sound track or consisting only of sound track, other than feature films",12,5
3808,"The following Bio-pesticides, namely - 1 Bacillus thuringiensis var. israelensis 2 Bacillus thuringiensis var. kurstaki 3 Bacillus thuringiensis var. galleriae 4 Bacillus sphaericus 5 Trichoderma viride 6 Trichoderma harzianum 7 Pseudomonas fluoresens 8 Beauveriabassiana 9 NPV of Helicoverpaarmigera 10 NPV of Spodopteralitura 11 Neem based pesticides 12 Cymbopogan",12,5
3818,Silicon wafers,12,5
3822,All diagnostic kits and reagents,12,5
3826,Biodiesel (other than biodiesel supplied to Oil Marketing Companies for blending with High Speed Diesel),12,18
3926,Feeding bottles; Plastic beads,12,5
4007,Latex Rubber Thread,12,5
4011,Rear tractor tyres and rear tractor tyre tubes,18,5
4011,"New pneumatic tyres, of rubber [other than of a kind used on/in bicycles, cycle-rickshaws and three wheeled powered cycle rickshaws; rear tractor tyres; and of a kind used on aircraft]",28,18
4011 70 00,Tyre for tractors,18,5
4013 90 49,Tube for tractor tyres,18,5
4014,Nipples of feeding bottles,12,5
4015,Surgical rubber gloves or medical examination rubber gloves,12,5
4016,Erasers,5,Nil
4016,Rubber bands,12,5
4107,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 4114",12,5
4112,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of sheep or lamb, without wool on, whether or not split, other than leather of heading 4114",12,5
4113,"Leather further prepared after tanning or crusting, including parchment-dressed leather, of other animals, without wool or hair on, whether or not split, other than leather of heading 4114",12,5
4114,Chamois (including combination chamois) leather; patent leather and patent laminated leather; metallised leather,12,5
4115,"Composition leather with a basis of leather or leather fibre, in slabs, sheets or strip, whether or not in rolls; parings and other waste of leather or of composition leather, not suitable for the manufacture of leather articles; leather dust, powder and flour",12,5
"4202 22,4202 29, 4202 31 10,4202 31 90, 4202 32,4202 39",Handicraft- Handbags including pouches and purses; jewellery box,12,5
4202 22 20,"Hand bags and shopping bags, of cotton",12,5
4202 22 30,"Hand bags and shopping bags, of jute",12,5
4203,Gloves specially designed for use in sports,12,5
"44, 68, 83","Idols of wood, stone [including marble] and metals [other than those made of precious metals]",12,5
44 or any Chapter,"The following goods, namely: — a. Cement Bonded Particle Board; b. Jute Particle Board; c. Rice Husk Board; d. Glass-fibre Reinforced Gypsum Board (GRG) e. Sisal-fibre Boards; f. Bagasse Board; and g. Cotton Stalk Particle Board h. Particle/fibre board manufactured from agricultural crop residues",12,5
4404,"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; wooden sticks, roughly trimmed but not turned, bent or otherwise worked, suitable for the manufacture of walking-sticks, umbrellas, tool handles or the like",12,5
4405,Wood wool; wood flour,12,5
4406,Railway or tramway sleepers (cross-ties) of wood,12,5
4408,"Sheets for veneering (including those obtained by slicing laminated wood), for plywood or for similar laminated wood and other wood, sawn lengthwise, sliced or peeled, whether or not planed, sanded, spliced or end-jointed, of a thickness not exceeding 6 mm [for match splints]",12,5
4409,Bamboo flooring,12,5
4414,"Handicraft- Wooden frames for painting, photographs, mirrors etc",12,5
4415,"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, box pallets and other load boards, of wood; pallet collars of wood",12,5
"4416, 4421 99 90","Handicraft- Carved wood products, art ware/ decorative articles of wood (including inlay work, casks, barrel, vats)",12,5
4416,"Casks, barrels, vats, tubs and other coopers’ products and parts thereof, of wood, including staves",12,5
4417,"Tools, tool bodies, tool handles, broom or brush bodies and handles, of wood; boot or shoe lasts and trees, of wood",12,5
4418,Bamboo wood building joinery,12,5
4419,Tableware and Kitchenware of wood,12,5
4420,"Wood marquetry and inlaid wood; caskets and cases for jewellery or cutlery, and similar articles, of wood; statuettes and other ornaments, of wood; wooden articles of furniture not falling in Chapter 94",12,5
4420,"Handicraft- Statuettes & other ornaments of wood, wood marquetry & inlaid, jewellery box, wood lathe and lacquer work [including lathe and lacquer work, ambadi sisal craft]",12,5
4421,"Other articles of wood; such as clothes hangers, Spools, cops, bobbins, sewing thread reels and the like of turned wood for various textile machinery, Match splints, Pencil slats, Parts of wood, namely oars, paddles and rudders for ships, boats and other similar floating structures, Parts of domestic decorative articles used as tableware and kitchenware [other than Wood paving blocks, articles of densified wood not elsewhere included or specified, Parts of domestic decorative articles used as tableware and kitchenware]",12,5
4502 00 00,"Natural cork, debacked or roughly squared, or in rectangular (including square) blocks, plates, sheets or strip (including sharp-edged blanks for corks or stoppers)",12,5
4503,"Articles of natural cork such as Corks and Stoppers, Shuttlecock cork bottom",12,5
4503 90 90 4504 90,Handicraft- Art ware of cork [including articles of sholapith],12,5
4504,Agglomerated cork (with or without a binding substance) and articles of agglomerated cork,12,5
4701,Mechanical wood pulp,12,5
4702,"Chemical wood pulp, dissolving grades",12,18
4703,"Chemical wood pulp, soda or sulphate, other than dissolving grades",12,5
4704,"Chemical wood pulp, sulphite, other than dissolving grades",12,5
4705,Wood pulp obtained by a combination of mechanical and chemical pulping processes,12,5
4706,Pulps of fibres derived from recovered (waste and scrap) paper or paperboard or of other fibrous cellulosic material,12,5
4802,"Uncoated paper and paperboard used for exercise book, graph book, laboratory notebook and notebooks",12,Nil
4802,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and non-perforated punch-cards and punch tape paper, in rolls or rectangular (including square) sheets, of any size, other than paper of heading 4801 or 4803; [other than Uncoated paper and paperboard for exercise book, graph book, laboratory notebook and notebooks]",12,18
4802,Hand-made paper and paperboard,12,5
4804,"Uncoated kraft paper and paperboard, in rolls or sheets, other than that of heading 4802 or 4803",12,18
4805,"Other uncoated paper and paperboard, in rolls or sheets, not further worked or processed than as specified in Note 3 to this Chapter",12,18
4806 20 00,Greaseproof papers,12,18
4806 40 10,Glassine papers,12,18
4807,"Composite paper and paperboard (made by sticking flat layers of paper or paperboard together with an adhesive), not surface-coated or impregnated, whether or not internally reinforced, in rolls or sheets",12,18
4808,"Paper and paperboard, corrugated (with or without glued flat surface sheets), creped, crinkled, embossed or perforated, in rolls or sheets, other than paper of the kind described in heading 4803",12,18
4810,"Paper and paperboard, coated on one or both sides with kaolin (China clay) or other inorganic substances, with or without a binder, and with no other coating, whether or not surface-coloured, surface-decorated or printed, in rolls or rectangular (including square) sheets of any size",12,18
4817 30,"Boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment of paper stationery",12,5
"4819 10, 4819 20","Cartons, boxes and cases of,- (a) Corrugated paper or paper boards; or (b) Non-corrugated paper or paper board",12,5
4820,"Exercise book, graph book, & laboratory note book and notebooks",12,Nil
4823,Paper pulp moulded trays,12,5
48,"Paper splints for matches, whether or not waxed, Asphaltic roofing sheets",12,5
48,Paper Sacks/Bags and bio degradable bags,18,5
4905,"Maps and hydrographic or similar charts of all kinds, including atlases, wall maps, topographical plans and globes, printed",12,Nil
5401,"Sewing thread of manmade filaments, whether or not put up for retail sale",12,5
"5402, 5403, 5404, 5405, 5406",Synthetic or artificial filament yarns,12,5
"5402, 5404, 5406",All goods,18,5
"5403, 5405, 5406",All goods,18,5
"5501, 5502",Synthetic or artificial filament tow,18,5
"5503, 5504, 5506, 5507",Synthetic or artificial staple fibres,18,5
5505,Waste of manmade fibres,18,5
5508,Sewing thread of manmade staple fibres,12,5
"5509, 5510, 5511",Yarn of manmade staple fibres,12,5
5601,Wadding of textile materials and articles thereof; such as absorbent cotton wool (except cigarette filter rods),12,5
5602,"Felt, whether or not impregnate, coated, covered or laminated",12,5
5603,"Nonwovens, whether or not impregnated, coated, covered or laminated",12,5
5604,"Rubber thread and cord, textile covered; textile yarn, and strip and the like of heading 5404 or 5405, impregnated, coated, covered or sheathed with rubber or plastics",12,5
5605,"Metallised yarn, whether or not gimped, being textile yarn or strip or the like of heading 5404 or 5405, combined with metal in the form of thread, strip or powder or covered with metal",12,5
5606,"Gimped yarn, and strip and the like of heading 5404 or 5405, gimped (other than those of heading 5605 and gimped horsehair yarn); chenille yarn (including flock chenille yarn); loop wale-yarn",12,5
5607,"Twine, cordage, ropes and cables, whether or not plaited or braided and whether or not impregnated, coated, covered or sheathed with rubber or plastics",12,5
5609,"Articles of yarn, strip or the like of heading 5404 or 5405, twine, cordage, rope or cables, not elsewhere specified or included [other than products of coir]",12,5
5701,"Carpets and other textile floor coverings, knotted, whether or not made up",12,5
5702,"Carpets and other textile floor coverings, woven, not tufted or flocked, whether or not made up, including “Kelem”, “Schumacks”, “Karamanie” and similar hand-woven rugs",12,5
5703,"Carpets and other textile floor coverings (including Turf), tufted, whether or not made up",12,5
5704,"Carpets and other textile floor coverings, of felt, not tufted or flocked, whether or not made up",12,5
5705,"Other carpets and other textile floor coverings, whether or not made up; such as Mats and mattings including Bath Mats, where cotton predominates by weight, of Handloom, Cotton Rugs of handloom",12,5
5802,"Terry towelling and similar woven terry fabrics, other than narrow fabrics of heading 5806; tufted textile fabrics, other than products of heading 5703",12,5
5803,"Gauze, other than narrow fabrics of heading 5806",12,5
5804,"Tulles and other net fabrics, not including woven, knitted or crocheted fabrics; lace in the piece, in strips or in motifs, other than fabrics of headings 6002 to 6006",12,5
5805,"Hand-woven tapestries of the type Gobelins, Flanders, Aubusson, Beauvais and the like, and needle-worked tapestries (for example, petit point, cross stitch), whether or not made up",12,5
5807,"Labels, badges and similar articles of textile materials, in the piece, in strips or cut to shape or size, not embroidered",12,5
5808,"Braids in the piece; ornamental trimmings in the piece, without embroidery, other than knitted or crocheted; tassels, pompons and similar articles",12,5
5809,"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind used in apparel, as furnishing fabrics or for similar purposes, not elsewhere specified or included; such as Zari borders",12,5
5810,"Embroidery in the piece, in strips or in motifs, Embroidered badges, motifs and the like",12,5
5811,"Quilted textile products in the piece, composed of one or more layers of textile materials assembled with padding by stitching or otherwise, other than embroidery of heading 5810",12,5
5901,"Textile fabrics coated with gum or amylaceous substances, of a kind used for the outer covers of books or the like; tracing cloth; prepared painting canvas; buckram and similar stiffened textile fabrics of a kind used for hat foundations",12,5
5902,"Tyre cord fabric of high tenacity yarn of nylon or other polyamides, polyesters or viscose rayon",12,5
5903,"Textile fabrics impregnated, coated, covered or laminated with plastics, other than those of heading 5902",12,5
5904,"Linoleum, whether or not cut to shape; floor coverings consisting of a coating or covering applied on a textile backing, whether or not cut to shape",12,5
5905,Textile wall coverings,12,5
5906,"Rubberised textile fabrics, other than those of heading 5902",12,5
5907,"Textile fabrics otherwise impregnated, coated or covered; painted canvas being theatrical scenery, studio back-cloths or the like",12,5
5908,"Textile wicks, woven, plaited or knitted , for lamps, stoves, lighters, candles or the like; incandescent gas mantles and tubular knitted gas mantle fabric therefor, whether or not impregnated",12,5
5909,"Textile hose piping and similar textile tubing, with or without lining, armour or accessories of other materials",12,5
5910,"Transmission or conveyor belts or belting, of textile material, whether or not impregnated, coated, covered or laminated with plastics, or reinforced with metal or other material",12,5
5911,"Textile products and articles, for technical uses, specified in Note 7 to this Chapter; such as Textile fabrics, felt and felt- lined woven fabrics, coated, covered or laminated with rubber, leather or other material, of a kind used for card clothing, and similar fabrics of a kind used for other technical purposes, including narrow fabrics made of velvet impregnated with rubber, for covering weaving spindles (weaving beams); Bolting cloth, whether or Not made up; Felt for cotton textile industries, woven; Woven textiles felt, whether or not impregnated or coated, of a kind commonly used in other machines, Cotton fabrics and articles used in machinery and plant, Jute fabrics and articles used in machinery or plant, Textile fabrics of metalised yarn of a kind commonly used in paper making or other machinery, Straining cloth of a kind used in oil presses or the like, including that of human hair, Paper maker's felt, woven, Gaskets, washers, polishing discs and other machinery parts of textile articles",12,5
"6117, 6214",Handmade/hand embroidered shawls,12,5
61,"Articles of apparel and clothing accessories, knitted or crocheted, of sale value exceeding Rs. 2500 per piece",12,18
62,"Articles of apparel and clothing accessories, not knitted or crocheted, of sale value exceeding Rs. 2500 per piece",12,18
63 [other than 6309],"Other made up textile articles, sets of sale value exceeding Rs. 2500 per piece [other than Worn clothing and other worn articles; rags]",12,18
64,Footwear of sale value not exceeding Rs.2500 per pair,12,5
6501,Textile caps,12,5
6505,Hats (knitted/crocheted) or made up from lace or other textile fabrics,12,5
6601,"Umbrellas and sun umbrellas (including walking-stick umbrellas, garden umbrellas and similar umbrellas)",12,5
6602,"Whips, riding-crops and the like",12,5
6603,"Parts, trimmings and accessories of articles of heading 6601 or 6602",12,5
6701,"Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down and articles thereof (other than goods of heading 0505 and worked quills and scapes)",12,5
68,Sand lime bricks or Stone inlay work,12,5
6802,"Handicraft Statues, statuettes, pedestals; high or low reliefs, crosses, figures of animals, bowls, vases, cups, cachou boxes, writing sets, ashtrays, paper weights, artificial fruit and foliage, etc.; other ornamental goods essentially of stone",12,5
6802,"Handicraft -Carved stone products (e.g., statues, statuettes, figures of animals, writing sets, ashtray, candle stand)",12,5
68159990,"Handicraft -Stone art ware, stone inlay work",12,5
6909,"Pots, jars and similar articles of a kind used for the conveyance and packing of goods of ceramic",12,5
6911,"Tableware, kitchenware, other household articles and toilet articles, of porcelain or china",12,5
6912,"Tableware, kitchenware, other household articles and toilet articles, other than of porcelain or china",12,5
"691200 10, 6912 00 20","Handicraft-Tableware and kitchenware of clay and terracotta, other clay articles",12,5
6913,Handicraft-Statues and other ornamental articles,12,5
6913 90 00,Handicraft-Statuettes & other ornamental ceramic articles (incl blue potteries),12,5
7009 92 00,Handicraft-Ornamental framed mirrors,12,5
7015 10,Glasses for corrective spectacles and flint buttons,12,5
7018 90 10,Handicraft-Glass statues [other than those of crystal],12,5
7020 00 90,"Handicraft-Glass art ware [ incl. pots, jars, votive, cask, cake cover, tulip bottle, vase ]",12,5
7020,"Globes for lamps and lanterns, Founts for kerosene wick lamps, Glass chimneys for lamps and lanterns",12,5
7310 or 7326,"Mathematical boxes, geometry boxes and colour boxes",12,5
"7310, 7323, 7612, or 7615","Milk cans made of Iron, Steel, or Aluminium",12,5
7317,Animal shoe nails,12,5
7319,Sewing needles,12,5
7321 or 8516,Solar cookers,12,5
7321,"Kerosene burners, kerosene stoves and wood burning stoves of iron or steel",12,5
7323,"Table, kitchen or other household articles of iron & steel; Utensils",12,5
7326 90 99,Handicraft -Art ware of iron,12,5
7418,"Table, kitchen or other household articles of copper; Utensils",12,5
7419 80 30,Brass Kerosene Pressure Stove,12,5
7419 80,"Handicraft -Art ware of brass, copper/ copper alloys, electro plated with nickel/silver",12,5
7615,"Table, kitchen or other household articles of aluminium; Utensils",12,5
7616 99 90,Handicraft -Aluminium art ware,12,5
8214,Pencil sharpeners,12,Nil
